,Start,End
0,ARG,ESP
1,ARG,ITA
2,ARG,CHL
3,ARG,COL
4,ESP,AUT
5,ESP,BGR
6,ESP,BRA
7,ESP,CMR
8,ESP,COL
9,ESP,DEU
10,ESP,DNK
11,ESP,HRV
12,ESP,ITA
13,ESP,MAR
14,ESP,NGA
15,ESP,NLD
16,ESP,NOR
17,ESP,PRY
18,ESP,ROM
19,ESP,YUG
20,ESP,ZAF
21,ESP,JAM
22,ESP,SCO
23,ESP,USA
24,ITA,AUT
25,ITA,BEL
26,ITA,BRA
27,ITA,CHL
28,ITA,CMR
29,ITA,COL
30,ITA,DEU
31,ITA,DNK
32,ITA,HRV
33,ITA,FRA
34,ITA,GBR
35,ITA,MAR
36,ITA,NGA
37,ITA,NLD
38,ITA,NOR
39,ITA,YUG
40,ITA,ZAF
41,ITA,MEX
42,ITA,BGR
43,ITA,IRN
44,ITA,ROM
45,ITA,TUN
46,ITA,PRY
47,ITA,JAM
48,ITA,SCO
49,ITA,USA
50,AUT,DEU
51,AUT,FRA
52,AUT,GBR
53,AUT,CMR
54,AUT,HRV
55,AUT,ZAF
56,AUT,BRA
57,AUT,MEX
58,AUT,BEL
59,AUT,BGR
60,AUT,IRN
61,AUT,MAR
62,AUT,NGA
63,AUT,NLD
64,AUT,ROM
65,AUT,TUN
66,AUT,USA
67,AUT,DNK
68,AUT,JAM
69,AUT,NOR
70,AUT,SCO
71,AUT,YUG
72,AUT,PRY
73,DEU,BEL
74,DEU,BGR
75,DEU,CMR
76,DEU,FRA
77,DEU,DNK
78,DEU,HRV
79,DEU,IRN
80,DEU,MAR
81,DEU,NGA
82,DEU,NLD
83,DEU,NOR
84,DEU,ROM
85,DEU,TUN
86,DEU,USA
87,DEU,YUG
88,DEU,ZAF
89,DEU,GBR
90,DEU,PRY
91,DEU,JAM
92,DEU,SCO
93,FRA,BEL
94,FRA,BRA
95,FRA,CMR
96,FRA,KOR
97,FRA,MAR
98,FRA,NGA
99,FRA,SCO
100,FRA,TUN
101,FRA,YUG
102,FRA,ZAF
103,FRA,DNK
104,FRA,HRV
105,FRA,JAM
106,FRA,NLD
107,FRA,NOR
108,FRA,ROM
109,FRA,USA
110,FRA,PRY
111,GBR,DNK
112,GBR,HRV
113,GBR,JAM
114,GBR,NLD
115,GBR,NOR
116,GBR,ROM
117,GBR,SCO
118,GBR,USA
119,GBR,YUG
120,GBR,ZAF
121,GBR,PRY
122,BEL,NLD
123,BEL,NGA
124,BEL,ROM
125,BEL,DNK
126,BEL,HRV
127,BEL,JAM
128,BEL,NOR
129,BEL,SCO
130,BEL,USA
131,BEL,YUG
132,BEL,ZAF
133,BEL,PRY
134,NLD,DNK
135,NLD,NGA
136,NLD,ROM
137,NLD,USA
138,NLD,ZAF
139,NLD,BRA
140,NLD,MEX
141,NLD,BGR
142,NLD,CMR
143,NLD,HRV
144,NLD,IRN
145,NLD,MAR
146,NLD,NOR
147,NLD,TUN
148,NLD,YUG
149,NLD,SCO
150,NLD,PRY
151,BGR,PRT
152,BGR,TUR
153,BGR,DNK
154,BGR,HRV
155,BGR,JAM
156,BGR,NOR
157,BGR,ROM
158,BGR,SCO
159,BGR,USA
160,BGR,YUG
161,BGR,ZAF
162,BGR,PRY
163,PRT,BRA
